feedback_id,transaction_id,rating,feedback_date
1,1135,1,9/11/2023
2,1765,4,6/7/2023
3,753,3,5/17/2024
4,1143,5,2/24/2022
5,47,5,10/13/2024
6,407,5,7/30/2023
7,1019,4,4/7/2022
8,143,3,8/1/2023
9,1411,4,5/4/2024
10,637,2,4/20/2023
11,1601,2,3/7/2024
12,1439,4,6/24/2022
13,1863,2,11/4/2022
14,1955,5,4/8/2022
15,1981,3,6/23/2023
16,405,2,8/24/2024
17,389,1,8/1/2023
18,1327,5,11/25/2023
19,989,1,8/26/2022
20,1663,5,3/29/2023
21,501,5,10/23/2022
22,427,3,8/4/2024
23,1935,5,5/16/2024
24,53,5,1/14/2022
25,1079,4,7/18/2022
26,143,5,5/7/2024
27,1267,3,1/19/2023
28,1179,1,11/22/2024
29,95,5,6/21/2022
30,1859,5,5/22/2022
31,183,5,5/23/2022
32,479,1,4/21/2024
33,1957,4,11/20/2022
34,1313,3,11/8/2022
35,1893,3,8/28/2022
36,309,1,7/12/2024
37,475,1,1/15/2023
38,1727,4,9/15/2024
39,1657,3,12/28/2024
40,503,5,5/21/2022
41,1253,1,8/24/2024
42,221,4,7/20/2023
43,1665,1,6/28/2022
44,1601,5,4/15/2023
45,199,1,2/13/2022
46,783,2,7/16/2024
47,1101,1,9/15/2022
48,1699,5,12/18/2023
49,619,2,3/16/2022
50,337,2,12/14/2024
51,553,1,6/2/2024
52,1617,2,11/3/2024
53,301,2,12/5/2024
54,1003,1,2/4/2024
55,417,2,6/22/2023
56,1609,1,8/8/2022
57,505,3,9/3/2022
58,1871,5,6/1/2023
59,1511,2,9/14/2023
60,161,4,8/27/2023
61,1963,5,8/18/2023
62,549,2,6/2/2022
63,1269,3,2/24/2023
64,1115,4,9/12/2023
65,1089,1,10/20/2022
66,185,3,3/5/2022
67,1309,3,10/8/2023
68,1843,3,1/1/2022
69,341,1,6/20/2024
70,367,2,4/26/2023
71,583,5,5/18/2022
72,1177,2,10/21/2024
73,1775,5,1/8/2022
74,833,1,5/30/2023
75,489,4,2/2/2024
76,1361,3,7/10/2022
77,1987,3,7/30/2022
78,265,3,11/4/2024
79,275,2,11/15/2024
80,449,4,4/3/2023
81,835,4,10/9/2023
82,1103,5,4/4/2023
83,115,3,5/2/2023
84,1223,3,12/6/2024
85,1095,2,11/20/2022
86,939,1,1/4/2023
87,421,2,12/4/2022
88,769,1,6/16/2024
89,465,3,7/2/2022
90,1569,5,1/9/2023
91,1159,2,1/13/2024
92,1185,4,10/28/2024
93,921,1,7/12/2022
94,675,4,1/11/2022
95,1939,4,11/2/2022
96,683,4,9/4/2023
97,1345,3,1/15/2024
98,1755,1,9/10/2022
99,603,4,2/28/2024
100,1037,5,11/24/2023
101,1497,1,2/20/2024
102,1061,5,5/3/2022
103,1161,1,6/17/2022
104,1431,1,1/1/2022
105,1793,3,11/26/2022
106,57,5,5/20/2022
107,435,2,8/23/2023
108,1727,4,12/30/2023
109,1053,4,12/13/2022
110,673,3,7/29/2023
111,663,1,9/26/2022
112,1931,4,12/14/2022
113,173,3,1/27/2022
114,445,5,4/9/2024
115,975,2,8/12/2024
116,1513,5,11/23/2023
117,1161,1,3/22/2022
118,1031,3,7/7/2023
119,1159,3,10/3/2024
120,1575,4,4/7/2023
121,1755,2,2/26/2023
122,1159,1,9/7/2024
123,73,2,10/18/2022
124,1265,3,4/15/2022
125,1985,3,4/15/2022
126,407,3,8/21/2022
127,443,2,6/4/2022
128,1883,5,11/22/2022
129,469,1,1/28/2023
130,165,3,4/17/2023
131,1567,1,3/5/2024
132,1487,2,9/21/2023
133,1669,4,7/19/2024
134,1945,2,2/27/2022
135,1121,1,7/17/2024
136,61,3,5/18/2023
137,499,1,11/18/2022
138,1307,1,9/4/2024
139,1965,2,7/2/2023
140,1329,4,10/31/2022
141,1741,1,10/5/2022
142,291,1,9/25/2024
143,1569,4,2/12/2022
144,425,1,4/22/2022
145,699,2,1/26/2022
146,1981,4,7/30/2022
147,347,4,9/9/2022
148,577,2,12/9/2022
149,1583,5,5/19/2024
150,1789,1,11/15/2023
151,1809,1,6/20/2024
152,1195,4,3/18/2024
153,1989,2,1/17/2022
154,1835,3,9/20/2023
155,1529,5,12/13/2024
156,373,3,9/5/2024
157,419,1,1/7/2024
158,1263,3,9/30/2022
159,829,2,11/13/2022
160,1547,5,4/24/2024
161,1469,5,12/28/2024
162,961,4,8/13/2023
163,1637,4,4/25/2022
164,1643,3,1/18/2024
165,375,4,8/19/2022
166,1361,3,8/16/2022
167,915,4,10/29/2022
168,1613,4,12/6/2023
169,1629,1,10/4/2022
170,1531,5,11/13/2022
171,965,3,7/3/2024
172,1869,5,10/31/2023
173,411,2,1/5/2024
174,1991,5,1/24/2023
175,1683,4,11/20/2022
176,1155,4,7/5/2022
177,1469,2,11/8/2024
178,1997,4,10/25/2022
179,1885,3,7/4/2023
180,775,3,2/27/2023
181,811,3,6/15/2023
182,959,5,4/18/2023
183,225,4,12/24/2022
184,495,5,4/29/2022
185,589,3,4/20/2023
186,445,1,6/23/2024
187,35,2,11/1/2024
188,1775,5,11/27/2023
189,1841,4,8/3/2022
190,1485,1,2/27/2023
191,401,4,6/9/2022
192,1601,3,9/10/2023
193,1763,1,12/3/2024
194,797,1,1/16/2024
195,489,2,3/31/2022
196,1411,4,6/9/2022
197,185,5,8/22/2024
198,231,3,1/12/2022
199,1479,5,9/2/2023
200,1131,4,4/5/2023
201,735,5,8/20/2024
202,1691,1,11/13/2024
203,447,1,9/13/2024
204,83,3,4/13/2023
205,887,5,7/14/2023
206,383,3,8/31/2023
207,1377,5,5/21/2023
208,719,5,7/6/2023
209,613,2,10/31/2022
210,1861,3,2/6/2022
211,1271,4,3/19/2022
212,203,5,12/16/2023
213,1907,5,8/7/2022
214,641,4,9/13/2022
215,107,1,6/1/2022
216,1533,5,8/16/2023
217,611,4,11/16/2024
218,1547,2,5/23/2022
219,1249,2,11/23/2022
220,1341,3,8/12/2024
221,813,4,9/18/2023
222,809,3,1/24/2024
223,1559,1,12/26/2022
224,1561,3,4/16/2024
225,1893,1,10/31/2022
226,685,3,9/14/2022
227,501,4,2/4/2023
228,617,3,8/25/2022
229,1135,2,10/4/2024
230,425,4,9/28/2023
231,1835,3,6/18/2023
232,1201,5,10/24/2024
233,1497,1,10/7/2024
234,207,5,1/3/2022
235,473,2,4/9/2022
236,771,3,1/19/2024
237,681,1,9/25/2022
238,1509,1,8/1/2024
239,735,4,8/5/2022
240,639,2,12/6/2022
241,163,3,10/16/2024
242,1743,1,9/12/2023
243,1209,3,9/12/2023
244,1223,2,11/23/2022
245,1147,3,3/6/2022
246,1849,4,6/30/2023
247,1381,4,12/8/2024
248,1567,1,11/4/2023
249,1749,5,1/23/2023
250,1847,4,5/1/2024
251,981,4,4/2/2024
252,31,4,3/30/2024
253,1445,1,5/23/2024
254,377,3,3/19/2023
255,1605,4,8/26/2022
256,631,4,5/31/2023
257,1499,5,12/31/2023
258,1431,2,6/12/2023
259,519,3,12/19/2022
260,1661,1,10/6/2024
261,1039,2,10/29/2022
262,1335,3,9/29/2023
263,489,3,8/28/2022
